,tweet_id,favorite_count,retweet_count
69,879008229531029506,17660,2412
70,878776093423087618,17995,3683
71,878604707211726852,27962,6370
72,878404777348136964,0,1156
73,878316110768087041,0,5978
74,878281511006478336,7186,1156
75,878057613040115712,39111,6129
76,877736472329191424,73622,17059
77,877611172832227328,0,72
78,877556246731214848,21090,3430
79,877316821321428993,25484,4686
80,877201837425926144,25205,5025
81,876838120628539392,19250,3012
82,876537666061221889,22037,4231
83,876484053909872640,17478,2134
84,876120275196170240,26052,4213
85,875747767867523072,23388,3861
86,875144289856114688,20429,4430
87,875097192612077568,25550,5490
88,875021211251597312,23740,4260
89,874680097055178752,25919,4189
90,874434818259525634,0,13132
91,874296783580663808,24268,3726
92,874057562936811520,21182,3607
93,874012996292530176,31902,9249
94,873580283840344065,22589,3566
95,873337748698140672,0,1437
96,873213775632977920,6678,1437
97,872967104147763200,25421,4910
98,872820683541237760,13753,3373
99,872620804844003328,19356,3306
100,872486979161796608,38067,8214
101,872122724285648897,32006,7350
102,871879754684805121,35115,9948
103,871762521631449091,18895,3168
104,871515927908634625,18867,3160
105,871166179821445120,0,5201
106,871102520638267392,19570,5012
107,871032628920680449,21281,3473
108,870804317367881728,31507,5639
109,870726314365509632,114,3
110,870656317836468226,11554,2398
111,870374049280663552,77830,24217
112,870308999962521604,20533,3784
113,870063196459192321,34224,7584
114,869772420881756160,39962,9274
115,869702957897576449,26479,5762
116,869596645499047938,14980,2855
117,869227993411051520,19171,3449
118,868880397819494401,61388,13193
119,868639477480148993,0,1897
120,868622495443632128,25039,4848
121,868552278524837888,9465,1897
122,867900495410671616,22788,3837
123,867774946302451713,31947,6736
124,867421006826221569,15143,2291
125,867072653475098625,0,110
126,867051520902168576,30334,7258
127,866720684873056260,18843,4410
128,866686824827068416,18140,3202
129,866450705531457537,115186,32451
130,866334964761202691,49321,13132
131,866094527597207552,0,7718
132,865718153858494464,24217,5189
133,865359393868664832,24956,4622
134,865006731092295680,26463,7120
135,864873206498414592,30468,8022
136,864279568663928832,13774,2788
137,864197398364647424,28297,8173
138,863907417377173506,19473,3832
139,863553081350529029,14432,3879
140,863471782782697472,0,2250
141,863432100342583297,22498,4858
142,863427515083354112,2085,89
143,863079547188785154,8308,1030
144,863062471531167744,7987,2250
145,862831371563274240,18165,4780
146,862722525377298433,16206,3287
147,862457590147678208,19341,4575
148,862096992088072192,70272,21514
149,861383897657036800,34197,9956
150,861288531465048066,16281,3843
151,861005113778896900,15834,3555
152,860981674716409858,0,1999
153,860924035999428608,0,742
154,860563773140209665,7111,1999
155,860524505164394496,22464,4952
156,860276583193509888,17465,3278
157,860184849394610176,15828,5458
158,860177593139703809,0,28873
159,859924526012018688,18644,3838
160,859851578198683649,14691,3288
161,859607811541651456,17742,1462
162,859196978902773760,85524,28224
163,859074603037188101,32192,12766
164,858860390427611136,0,7608
165,858843525470990336,14871,3260
166,858471635011153920,20527,4563
167,858107933456039936,15044,2719
168,857989990357356544,15360,2438
169,857746408056729600,32727,10008
170,857393404942143489,5630,1548
171,857263160327368704,19195,4262
172,857214891891077121,214,17
173,857062103051644929,0,158
174,857029823797047296,18043,3751
175,856543823941562368,15658,2722
176,856526610513747968,11374,1777
177,856330835276025856,0,632
178,856288084350160898,494,15
179,856282028240666624,26617,5953
180,855862651834028034,322,24
181,855860136149123072,4714,929
182,855857698524602368,11401,1994
183,855851453814013952,44018,17142
184,855818117272018944,25632,5150
185,855459453768019968,28652,7817
186,855245323840757760,0,5655
187,855138241867124737,0,43
188,854732716440526848,21908,5769
189,854482394044301312,28182,6514
190,854365224396361728,18214,4473
191,854120357044912130,30871,7118
192,854010172552949760,15689,3007
193,853760880890318849,27621,5488
194,853639147608842240,33479,9579
195,853299958564483072,14980,3409
196,852936405516943360,0,1902
197,852912242202992640,8730,1735
198,852672615818899456,14442,2069
199,852553447878664193,15797,3331
200,852311364735569921,32135,9536
201,852226086759018497,19407,6571
202,852189679701164033,11124,1530
203,851861385021730816,0,19
204,851591660324737024,15799,3329
205,851464819735769094,23581,6799
206,851224888060895234,20133,5533
207,850753642995093505,29941,8768
208,850380195714523136,12760,2513
209,850333567704068097,3370,315
210,850145622816686080,15916,3666
211,850019790995546112,19885,4703
212,849776966551130114,29625,7315
213,849668094696017920,0,4782
214,849412302885593088,15491,3050
215,849336543269576704,11149,1837
216,849051919805034497,41312,8196
217,848690551926992896,24602,4184
218,848324959059550208,24131,4482
219,848213670039564288,7991,703
220,848212111729840128,15960,2936
221,847978865427394560,0,3158
222,847971574464610304,0,420
223,847962785489326080,23017,4912
224,847842811428974592,5321,1283
225,847617282490613760,6838,402
226,847606175596138505,18384,3333
227,847251039262605312,20074,4197
228,847157206088847362,19480,5698
229,847116187444137987,21041,3094
230,846874817362120707,19684,3815
231,846514051647705089,43686,11196
232,846505985330044928,13818,2980
233,846153765933735936,30951,8777
234,846139713627017216,30459,9762
235,846042936437604353,15674,2781
236,845812042753855489,28648,8441
237,845677943972139009,24735,4674
238,845397057150107648,7487,1749
239,845306882940190720,22906,5247
240,845098359547420673,0,7456
241,844979544864018432,13406,2481
242,844973813909606400,14804,3097
243,844580511645339650,16198,3040
244,844223788422217728,13443,2139
245,843981021012017153,14935,2883
246,843856843873095681,21100,4512
247,843604394117681152,16608,2678
248,843235543001513987,21173,5881
249,842846295480000512,15061,3550
250,842765311967449089,6630,1247
251,842535590457499648,17846,3432
252,842163532590374912,24067,5655
253,842115215311396866,13781,2962
254,841833993020538882,0,14712
255,841680585030541313,25384,7651
256,841439858740625411,12468,3598
257,841320156043304961,19537,5391
258,841314665196081154,15649,4544
259,841077006473256960,22547,5201
260,840761248237133825,0,1732
261,840728873075638272,0,15759
262,840698636975636481,173,2
263,840696689258311684,12135,952
264,840632337062862849,8877,1732
265,840370681858686976,16240,4463
266,840268004936019968,19027,5610
267,839990271299457024,13254,2232
268,839549326359670784,27129,7608
269,839290600511926273,0,140
270,839239871831150596,26802,6416
271,838952994649550848,19437,3924
272,838921590096166913,11012,2015
273,838916489579200512,0,34
274,838831947270979586,0,10813
275,838561493054533637,10841,1314
276,838476387338051585,22247,4689
277,838201503651401729,0,9866
278,838150277551247360,1656,325
279,838085839343206401,139,1
280,838083903487373313,17426,3072
281,837820167694528512,33699,7718
282,837482249356513284,3820,437
283,837471256429613056,12653,2236
284,837110210464448512,15896,2332
285,836989968035819520,12630,2269
286,836753516572119041,19162,4575
287,836677758902222849,12506,2198
288,836648853927522308,0,549
289,836397794269200385,0,27088
290,836380477523124226,14638,2944
291,836260088725786625,21142,4247
292,836001077879255040,18924,4195
293,835685285446955009,0,8019
294,835574547218894849,17647,3568
295,835536468978302976,0,1668
296,835309094223372289,0,20632
297,835297930240217089,16337,2970
298,835264098648616962,7675,1668
299,835246439529840640,2084,72
300,835172783151792128,25971,5688
301,835152434251116546,22217,2972
302,834931633769889797,10718,1618
303,834786237630337024,21238,5432
304,834574053763584002,13540,2496
305,834477809192075265,0,10500
306,834458053273591808,9536,1658
307,834209720923721728,20419,4686
308,834167344700198914,15713,3618
309,834089966724603904,9963,2108
310,834086379323871233,12959,2182
311,833863086058651648,13345,2378
312,833826103416520705,17956,3734
313,833732339549220864,0,221
314,833722901757046785,20690,3182
315,833479644947025920,14768,2030
316,833124694597443584,20054,4782
317,832998151111966721,13165,2176
318,832769181346996225,0,39
